,city,lat,lng,country,iso2,admin_name,capital,population,population_proper
55,pau,43.3,-0.37,France,FR,Nouvelle-Aquitaine,minor,77066,77066
56,mérignac,44.8386,-0.6436,France,FR,Nouvelle-Aquitaine,,75729,75729
57,saint-maur-des-fossés,48.7994,2.4997,France,FR,Île-de-France,,75441,75441
58,antibes,43.5808,7.1239,France,FR,Provence-Alpes-Côte d’Azur,,75130,75130
59,ajaccio,41.9267,8.7369,France,FR,Corsica,admin,73822,73822
60,cannes,43.5513,7.0128,France,FR,Provence-Alpes-Côte d’Azur,,73255,73255
61,saint-nazaire,47.2736,-2.2139,France,FR,Pays de la Loire,minor,72057,72057
62,drancy,48.93,2.45,France,FR,Île-de-France,,71363,71363
63,noisy-le-grand,48.8478,2.5528,France,FR,Île-de-France,,70374,70374
64,issy-les-moulineaux,48.8239,2.27,France,FR,Île-de-France,,68580,68580
65,cergy,49.0361,2.0631,France,FR,Île-de-France,minor,68348,68348
66,levallois-perret,48.895,2.2872,France,FR,Île-de-France,,68009,68009
67,calais,50.9481,1.8564,France,FR,Hauts-de-France,minor,67380,67380
68,pessac,44.8067,-0.6311,France,FR,Nouvelle-Aquitaine,,66760,66760
69,vénissieux,45.6969,4.8858,France,FR,Auvergne-Rhône-Alpes,,66363,66363
70,clichy,48.9044,2.3064,France,FR,Île-de-France,,64849,64849
71,valence,44.9333,4.8917,France,FR,Auvergne-Rhône-Alpes,minor,64483,64483
72,ivry-sur-seine,48.8078,2.3747,France,FR,Île-de-France,,64001,64001
73,antony,48.7539,2.2975,France,FR,Île-de-France,minor,63232,63232
74,troyes,48.2997,4.0792,France,FR,Grand Est,minor,62782,62782
75,la seyne-sur-mer,43.1,5.883,France,FR,Provence-Alpes-Côte d’Azur,,62763,62763
76,pantin,48.8966,2.4017,France,FR,Île-de-France,,60800,60800
77,chambéry,45.57,5.9118,France,FR,Auvergne-Rhône-Alpes,minor,59856,59856
78,neuilly-sur-seine,48.8881,2.2686,France,FR,Île-de-France,,59267,59267
79,sarcelles,48.9956,2.3808,France,FR,Île-de-France,minor,58424,58424
80,le blanc-mesnil,48.9387,2.4614,France,FR,Île-de-France,,58257,58257
81,maisons-alfort,48.8058,2.4378,France,FR,Île-de-France,,58068,58068
82,lorient,47.75,-3.36,France,FR,Bretagne,minor,57846,57846
83,villejuif,48.7919,2.3636,France,FR,Île-de-France,,57753,57753
84,bellevue,48.871,2.385,France,FR,Île-de-France,,57699,57699
85,beauvais,49.4303,2.0952,France,FR,Hauts-de-France,minor,56677,56677
86,meaux,48.9603,2.8883,France,FR,Île-de-France,minor,55616,55616
87,bobigny,48.9106,2.4397,France,FR,Île-de-France,minor,55056,55056
88,clamart,48.8014,2.2628,France,FR,Île-de-France,,54491,54491
89,vannes,47.6559,-2.7603,France,FR,Bretagne,minor,54420,54420
90,chelles,48.8833,2.6,France,FR,Île-de-France,,54309,54309
91,évry,48.6238,2.4296,France,FR,Île-de-France,minor,53641,53641
92,épinay-sur-seine,48.9553,2.3092,France,FR,Île-de-France,,53489,53489
93,saint-ouen,48.9123,2.3342,France,FR,Île-de-France,,53207,53207
94,saint-quentin,49.8486,3.2864,France,FR,Hauts-de-France,minor,52958,52958
95,bondy,48.9022,2.4828,France,FR,Île-de-France,,52905,52905
96,bayonne,43.49,-1.48,France,FR,Nouvelle-Aquitaine,minor,52749,52749
97,corbeil-essonnes,48.6139,2.482,France,FR,Île-de-France,,52683,52683
98,cagnes-sur-mer,43.6644,7.1489,France,FR,Provence-Alpes-Côte d’Azur,,52580,52580
99,vaulx-en-velin,45.7768,4.9186,France,FR,Auvergne-Rhône-Alpes,,52139,52139
100,sevran,48.9333,2.5333,France,FR,Île-de-France,,51845,51845
101,fontenay-sous-bois,48.8517,2.4772,France,FR,Île-de-France,,51812,51812
102,sartrouville,48.9372,2.1644,France,FR,Île-de-France,,51220,51220
103,massy,48.7309,2.2713,France,FR,Île-de-France,,50962,50962
104,laval,48.0733,-0.7689,France,FR,Pays de la Loire,minor,49657,49657
105,saint-herblain,47.2122,-1.6497,France,FR,Pays de la Loire,,49537,49537
106,gennevilliers,48.9333,2.3,France,FR,Île-de-France,,49410,49410
107,suresnes,48.87,2.22,France,FR,Île-de-France,,49104,49104
108,saint-priest,45.6964,4.9439,France,FR,Auvergne-Rhône-Alpes,,48822,48822
109,vincennes,48.8478,2.4392,France,FR,Île-de-France,,48798,48798
110,bastia,42.7008,9.4503,France,FR,Corsica,,48768,48768
111,montrouge,48.8172,2.3219,France,FR,Île-de-France,,47657,47657
112,évreux,49.02,1.15,France,FR,Normandie,minor,47289,47289
113,la courneuve,48.9322,2.3967,France,FR,Île-de-France,,47160,47160
114,charleville-mézières,49.7719,4.7161,France,FR,Grand Est,minor,46398,46398
115,meudon,48.8123,2.2382,France,FR,Île-de-France,,46342,46342
116,choisy-le-roi,48.763,2.409,France,FR,Île-de-France,,46129,46129
117,noisy-le-sec,48.8894,2.4503,France,FR,Île-de-France,,46094,46094
118,livry-gargan,48.9192,2.5361,France,FR,Île-de-France,,46028,46028
119,rosny-sous-bois,48.8667,2.4833,France,FR,Île-de-France,,45655,45655
120,talence,44.8,-0.584,France,FR,Nouvelle-Aquitaine,,45225,45225
121,belfort,47.64,6.85,France,FR,Bourgogne-Franche-Comté,minor,45155,45155
122,alfortville,48.805,2.4239,France,FR,Île-de-France,,45046,45046
123,chalon-sur-saône,46.7806,4.8528,France,FR,Bourgogne-Franche-Comté,minor,45031,45031
124,sète,43.4053,3.6975,France,FR,Occitanie,,44712,44712
125,mantes-la-jolie,48.9908,1.7172,France,FR,Île-de-France,minor,44539,44539
126,saint-brieuc,48.5136,-2.7653,France,FR,Bretagne,minor,44224,44224
127,tarbes,43.23,0.07,France,FR,Occitanie,minor,43955,43955
128,alès,44.1281,4.0817,France,FR,Occitanie,minor,43892,43892
129,châlons-en-champagne,48.9575,4.365,France,FR,Grand Est,minor,43877,43877
130,bagneux,48.7983,2.3137,France,FR,Île-de-France,,43699,43699
131,puteaux,48.885,2.2389,France,FR,Île-de-France,,43672,43672
132,caluire-et-cuire,45.7953,4.8472,France,FR,Auvergne-Rhône-Alpes,,43572,43572
133,bron,45.7386,4.9131,France,FR,Auvergne-Rhône-Alpes,,43049,43049
134,rezé,47.1917,-1.5694,France,FR,Pays de la Loire,,42998,42998
135,valenciennes,50.3581,3.5233,France,FR,Hauts-de-France,minor,42991,42991
136,châteauroux,46.8103,1.6911,France,FR,Centre-Val de Loire,minor,42968,42968
137,garges-lès-gonesse,48.9728,2.4008,France,FR,Île-de-France,,42841,42841
138,arras,50.292,2.78,France,FR,Hauts-de-France,minor,42600,42600
139,melun,48.5406,2.66,France,FR,Île-de-France,minor,42367,42367
140,le cannet,43.5769,7.0194,France,FR,Provence-Alpes-Côte d’Azur,,41597,41597
141,bourg-en-bresse,46.2056,5.2289,France,FR,Auvergne-Rhône-Alpes,minor,41525,41525
142,anglet,43.485,-1.5183,France,FR,Nouvelle-Aquitaine,,41153,41153
143,angoulême,45.65,0.16,France,FR,Nouvelle-Aquitaine,minor,41086,41086
144,boulogne-sur-mer,50.7264,1.6147,France,FR,Hauts-de-France,minor,40910,40910
145,wattrelos,50.7,3.217,France,FR,Hauts-de-France,,40836,40836
146,villenave-d’ornon,44.7806,-0.5658,France,FR,Nouvelle-Aquitaine,,40500,40500
147,stains,48.95,2.3833,France,FR,Île-de-France,,40359,40359
148,gagny,48.8833,2.5333,France,FR,Île-de-France,,40189,40189
149,colomiers,43.6139,1.3367,France,FR,Occitanie,,40159,40159
150,poissy,48.9294,2.0456,France,FR,Île-de-France,,40016,40016
151,douai,50.3714,3.08,France,FR,Hauts-de-France,minor,39648,39648
152,bagnolet,48.8692,2.4181,France,FR,Île-de-France,,39366,39366
153,marcq-en-baroeul,50.6711,3.0972,France,FR,Hauts-de-France,,39356,39356
154,villepinte,48.955,2.541,France,FR,Île-de-France,,38725,38725
155,saint-martin-d’hères,45.1672,5.7653,France,FR,Auvergne-Rhône-Alpes,,38454,38454
156,chartres,48.456,1.484,France,FR,Centre-Val de Loire,minor,38447,38447
157,annemasse,46.1958,6.2364,France,FR,Auvergne-Rhône-Alpes,,37918,37918
158,neuilly-sur-marne,48.8537,2.549,France,FR,Île-de-France,,37531,37531
159,franconville,48.9889,2.2314,France,FR,Île-de-France,,37520,37520
160,savigny-sur-orge,48.6797,2.3457,France,FR,Île-de-France,,37371,37371
161,thonon-les-bains,46.3627,6.475,France,FR,Auvergne-Rhône-Alpes,minor,37027,37027
162,échirolles,45.1436,5.7183,France,FR,Auvergne-Rhône-Alpes,,36849,36849
163,châtillon,48.8,2.29,France,FR,Île-de-France,,36777,36777
164,athis-mons,48.7074,2.3889,France,FR,Île-de-France,,36222,36222
165,creil,49.2583,2.4833,France,FR,Hauts-de-France,,36106,36106
166,conflans-sainte-honorine,48.9992,2.0983,France,FR,Île-de-France,,35926,35926
167,villefranche-sur-saône,45.9833,4.7167,France,FR,Auvergne-Rhône-Alpes,minor,35913,35913
168,meyzieu,45.7667,5.0036,France,FR,Auvergne-Rhône-Alpes,,35882,35882
169,sainte-geneviève-des-bois,48.6369,2.3403,France,FR,Île-de-France,,35846,35846
170,villeneuve-saint-georges,48.7325,2.4497,France,FR,Île-de-France,,35492,35492
171,châtenay-malabry,48.7653,2.2781,France,FR,Île-de-France,,34898,34898
172,palaiseau,48.7145,2.2457,France,FR,Île-de-France,minor,34893,34893
173,roanne,46.0367,4.0689,France,FR,Auvergne-Rhône-Alpes,minor,34762,34762
174,le perreux-sur-marne,48.8422,2.5036,France,FR,Île-de-France,,34213,34213
175,schiltigheim,48.6078,7.75,France,FR,Grand Est,,34129,34129
176,les mureaux,48.9875,1.9172,France,FR,Île-de-France,,33977,33977
